DATE,GEOGRAPHY_NAME,SIC_2DIGIT_NAME,SIC_2DIGIT_CODE,SIC_2DIGIT_CODE_NUMERIC,JOBCOUNT
2015,Bedfordshire and Hertfordshire,"01 : Crop and animal production, hunting and related service activities",01,1,560
2015,Bedfordshire and Hertfordshire,02 : Forestry and logging,02,2,80
2015,Bedfordshire and Hertfordshire,03 : Fishing and aquaculture,03,3,0
2015,Bedfordshire and Hertfordshire,05 : Mining of coal and lignite,05,5,0
2015,Bedfordshire and Hertfordshire,06 : Extraction of crude petroleum and natural gas,06,6,0
2015,Bedfordshire and Hertfordshire,07 : Mining of metal ores,07,7,0
2015,Bedfordshire and Hertfordshire,08 : Other mining and quarrying,08,8,0
2015,Bedfordshire and Hertfordshire,09 : Mining support service activities,09,9,0
2015,Bedfordshire and Hertfordshire,10 : Manufacture of food products,10,10,240
2015,Bedfordshire and Hertfordshire,11 : Manufacture of beverages,11,11,90
2015,Bedfordshire and Hertfordshire,12 : Manufacture of tobacco products,12,12,0
2015,Bedfordshire and Hertfordshire,13 : Manufacture of textiles,13,13,20
2015,Bedfordshire and Hertfordshire,14 : Manufacture of wearing apparel,14,14,75
2015,Bedfordshire and Hertfordshire,15 : Manufacture of leather and related products,15,15,15
2015,Bedfordshire and Hertfordshire,"16 : Manufacture of wood and of products of wood and cork, except furniture;manufacture of articles of straw and plaiting materials",16,16,105
2015,Bedfordshire and Hertfordshire,17 : Manufacture of paper and paper products,17,17,45
2015,Bedfordshire and Hertfordshire,18 : Printing and reproduction of recorded media,18,18,145
2015,Bedfordshire and Hertfordshire,19 : Manufacture of coke and refined petroleum products,19,19,0
2015,Bedfordshire and Hertfordshire,20 : Manufacture of chemicals and chemical products,20,20,150
2015,Bedfordshire and Hertfordshire,21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,21,190
2015,Bedfordshire and Hertfordshire,22 : Manufacture of rubber and plastic products,22,22,475
2015,Bedfordshire and Hertfordshire,23 : Manufacture of other non-metallic mineral products,23,23,300
2015,Bedfordshire and Hertfordshire,24 : Manufacture of basic metals,24,24,15
2015,Bedfordshire and Hertfordshire,"25 : Manufacture of fabricated metal products, except machinery and equipment",25,25,895
2015,Bedfordshire and Hertfordshire,"26 : Manufacture of computer, electronic and optical products",26,26,465
2015,Bedfordshire and Hertfordshire,27 : Manufacture of electrical equipment,27,27,85
2015,Bedfordshire and Hertfordshire,28 : Manufacture of machinery and equipment n.e.c.,28,28,225
2015,Bedfordshire and Hertfordshire,"29 : Manufacture of motor vehicles, trailers and semi-trailers",29,29,125
2015,Bedfordshire and Hertfordshire,30 : Manufacture of other transport equipment,30,30,220
2015,Bedfordshire and Hertfordshire,31 : Manufacture of furniture,31,31,165
2015,Bedfordshire and Hertfordshire,32 : Other manufacturing,32,32,330
2015,Bedfordshire and Hertfordshire,33 : Repair and installation of machinery and equipment,33,33,115
2015,Bedfordshire and Hertfordshire,"35 : Electricity, gas, steam and air conditioning supply",35,35,160
2015,Bedfordshire and Hertfordshire,"36 : Water collection, treatment and supply",36,36,100
2015,Bedfordshire and Hertfordshire,37 : Sewerage,37,37,150
2015,Bedfordshire and Hertfordshire,"38 : Waste collection, treatment and disposal activities; materials recovery",38,38,170
