DATE,GEOGRAPHY_NAME,SIC_2DIGIT_NAME,SIC_2DIGIT_CODE,SIC_2DIGIT_CODE_NUMERIC,JOBCOUNT
2015,Aberdeen City and Aberdeenshire,"01 : Crop and animal production, hunting and related service activities",01,1,175
2015,Aberdeen City and Aberdeenshire,02 : Forestry and logging,02,2,300
2015,Aberdeen City and Aberdeenshire,03 : Fishing and aquaculture,03,3,725
2015,Aberdeen City and Aberdeenshire,05 : Mining of coal and lignite,05,5,0
2015,Aberdeen City and Aberdeenshire,06 : Extraction of crude petroleum and natural gas,06,6,10600
2015,Aberdeen City and Aberdeenshire,07 : Mining of metal ores,07,7,0
2015,Aberdeen City and Aberdeenshire,08 : Other mining and quarrying,08,8,345
2015,Aberdeen City and Aberdeenshire,09 : Mining support service activities,09,9,20005
2015,Aberdeen City and Aberdeenshire,10 : Manufacture of food products,10,10,4820
2015,Aberdeen City and Aberdeenshire,11 : Manufacture of beverages,11,11,325
2015,Aberdeen City and Aberdeenshire,12 : Manufacture of tobacco products,12,12,0
2015,Aberdeen City and Aberdeenshire,13 : Manufacture of textiles,13,13,135
2015,Aberdeen City and Aberdeenshire,14 : Manufacture of wearing apparel,14,14,150
2015,Aberdeen City and Aberdeenshire,15 : Manufacture of leather and related products,15,15,0
2015,Aberdeen City and Aberdeenshire,"16 : Manufacture of wood and of products of wood and cork, except furniture;manufacture of articles of straw and plaiting materials",16,16,655
2015,Aberdeen City and Aberdeenshire,17 : Manufacture of paper and paper products,17,17,410
2015,Aberdeen City and Aberdeenshire,18 : Printing and reproduction of recorded media,18,18,200
2015,Aberdeen City and Aberdeenshire,19 : Manufacture of coke and refined petroleum products,19,19,110
2015,Aberdeen City and Aberdeenshire,20 : Manufacture of chemicals and chemical products,20,20,530
2015,Aberdeen City and Aberdeenshire,21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,21,0
2015,Aberdeen City and Aberdeenshire,22 : Manufacture of rubber and plastic products,22,22,625
